id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
63	262	263	noun	263	-	-	O	fm	1	sg	63	andere valsche
64	264	264	noun	264	-	-	O	n	0	pl	64	opgaven
65	267	267	pronoun	267	-	1	O	m	1	sg	1	Ik
66	274	274	noun	274	-	-	O	-	-	pl	8	menschen
67	275	275	pronoun	275	-	-	O	-	-	pl	8	die
68	276	276	pronoun	276	-	3	O	-	-	pl	8	zich
69	278	278	noun	278	-	-	O	n	0	sg	69	zoo
70	286	286	pronoun	286	-	1	O	m	1	sg	1	Ik
71	298	299	noun	299	-	-	O	n	0	sg	71	de beurs
72	310	310	pronoun	310	-	3	O	fm	1	sg	63	men
73	313	313	pronoun	313	-	-	O	-	-	sg	73	die
74	314	314	noun	314	-	-	O	n	0	sg	74	ondervinding
75	317	317	pronoun	317	-	1	O	m	1	sg	1	Ik
76	329	329	pronoun	329	-	1	O	m	1	sg	1	ik
77	330	331	noun	331	-	-	O	n	0	pl	77	de oorzaken
78	336	336	pronoun	336	-	1	O	m	1	sg	1	me
79	340	340	pronoun	340	-	3	O	n	0	pl	77	die
80	345	347	noun	347	-	-	O	n	0	both	8	de verkeerde richting
81	348	348	pronoun	348	-	-	O	n	0	sg	8	die
82	350	351	noun	351	-	-	O	-	-	pl	82	de meesten
83	355	355	pronoun	355	-	3	O	n	0	pl	77	hun
84	358	358	pronoun	358	-	1	O	m	1	sg	1	Ik
85	361	361	noun	361	-	-	O	-	-	sg	85	waarheid
86	363	364	noun	364	-	-	O	n	0	sg	86	gezond verstand
87	369	369	pronoun	369	-	1	O	m	1	sg	1	ik
88	373	374	noun	374	-	-	O	n	0	sg	88	de Schrift
89	376	376	pronoun	376	-	1	O	m	1	sg	1	ik
90	378	379	noun	379	-	-	O	n	0	sg	90	een uitzondering
91	381	382	noun	382	-	-	O	n	0	sg	91	De fout
92	386	387	name	387	PER	-	O	m	1	sg	92	Van Alphen
93	394	398	noun	396	-	-	O	mn	-	sg	8	den eersten regel over die
94	398	398	noun	398	-	-	O	n	0	sg	8	die
95	407	408	noun	408	-	-	O	-	-	pl	95	dien ouden
96	409	409	noun	409	-	-	O	m	1	sg	96	heer
97	412	412	pronoun	412	-	3	O	n	0	sg	91	zich
98	415	424	noun	416	-	-	O	fm	1	sg	98	een aanbidder van mijn zusje Truitje die zeere oogen had
99	418	424	name	424	MISC	-	O	n	0	both	99	mijn zusje Truitje die zeere oogen had
100	418	418	pronoun	418	-	1	O	m	1	sg	1	mijn
101	427	430	name	430	PER	-	O	m	1	sg	101	van mijn broêr Gerrit
102	428	429	noun	429	-	-	O	m	1	sg	102	mijn broêr
103	428	428	pronoun	428	-	1	O	m	1	sg	1	mijn
104	431	431	pronoun	431	-	-	O	m	1	sg	96	die
105	434	435	noun	435	-	-	O	n	0	sg	105	zijn neus
106	434	434	pronoun	434	-	3	O	n	0	sg	91	zijn
107	441	441	pronoun	441	-	3	O	m	1	sg	96	hij
108	446	446	pronoun	446	-	3	I	m	1	sg	102	hij
109	447	448	noun	448	-	-	I	n	0	pl	109	die versjes
110	452	453	noun	452	-	-	I	n	0	sg	110	liefde gedrongen
111	456	456	pronoun	456	-	1	O	m	1	sg	1	Ik
112	460	460	noun	460	-	-	O	fm	1	sg	112	kind
113	465	465	pronoun	465	-	1	I	m	1	sg	96	ik
114	467	467	pronoun	467	-	2	I	m	1	sg	114	u
115	474	474	pronoun	474	-	2	I	fm	1	sg	114	ge
116	475	475	pronoun	475	-	1	I	fm	1	sg	96	mij
117	476	477	noun	477	-	-	I	-	-	pl	117	de marmerknikkers
118	480	480	pronoun	480	-	-	I	-	-	pl	117	die
119	481	481	pronoun	481	-	1	I	fm	1	sg	96	ik
120	482	482	pronoun	482	-	2	I	fm	1	sg	114	u
121	487	488	noun	488	-	-	I	n	0	sg	121	mijn naam
122	487	487	pronoun	487	-	1	I	fm	1	sg	96	mijn
123	491	491	noun	491	-	-	I	n	0	sg	123	banket
124	493	493	pronoun	493	-	1	I	fm	1	sg	96	ik
125	495	495	name	495	ORG	-	I	n	0	sg	125	Batavus
126	499	499	pronoun	499	-	1	I	fm	1	sg	96	ik
127	500	500	pronoun	500	-	2	I	fm	1	sg	114	u
128	502	503	noun	503	-	-	I	fm	1	sg	128	een leugenaar
129	506	506	pronoun	506	-	1	I	fm	1	sg	96	ik
130	508	509	name	509	PER	-	I	m	1	sg	92	Van Alphen
131	513	513	pronoun	513	-	3	I	m	1	sg	92	Hij
132	519	519	pronoun	519	-	1	I	fm	1	sg	96	ik
133	522	522	pronoun	522	-	3	I	m	1	sg	92	hij
134	523	523	pronoun	523	-	1	I	fm	1	pl	134	ons
135	526	527	noun	527	-	-	I	m	1	sg	135	mijn vader
136	526	526	pronoun	526	-	1	I	fm	1	sg	96	mijn
137	528	530	noun	530	-	-	I	mn	-	sg	135	mijn beste vrind
138	528	528	pronoun	528	-	1	I	fm	1	sg	96	mijn
139	533	533	pronoun	533	-	1	I	fm	1	sg	96	ik
140	537	538	name	538	PER	-	I	fm	1	sg	140	Pauweltje Winser
141	540	540	pronoun	540	-	-	I	fm	1	sg	140	die
142	542	542	pronoun	542	-	1	I	fm	1	pl	134	ons
143	545	546	noun	546	-	-	I	-	-	sg	143	de Batavierstraat
144	550	552	noun	552	-	-	I	n	0	sg	144	mijn kleine hond
145	550	550	pronoun	550	-	1	I	fm	1	sg	96	mijn
146	557	557	pronoun	557	-	1	I	fm	1	pl	134	We
147	563	563	pronoun	563	-	3	I	-	-	pl	117	ze
148	574	575	noun	575	-	-	I	n	0	sg	148	de opvoeding
149	578	580	noun	580	-	-	I	n	0	sg	149	Het nieuwe zusjen
150	583	584	noun	584	-	-	I	-	-	sg	150	de groenvrouw
151	587	589	noun	589	-	-	I	n	0	sg	151	een groote kool
152	592	592	name	592	-	-	I	m	1	pl	152	Hollanders
153	598	599	name	599	-	-	I	m	1	pl	153	De Romeinen
154	603	604	name	604	-	-	I	n	0	pl	154	de Batavieren
155	605	605	pronoun	605	-	3	I	m	1	pl	153	hen
156	609	612	name	610	PER	-	I	m	1	sg	156	De Beij van Tunis
157	612	612	name	612	LOC	-	I	n	0	sg	157	Tunis
158	614	615	noun	615	-	-	I	n	0	sg	158	een kolijk
159	617	617	pronoun	617	-	3	I	m	1	sg	156	hij
160	622	624	noun	624	-	-	I	n	0	sg	160	de nederlandsche vlag
161	626	629	noun	627	-	-	I	mn	-	sg	161	De hertog van Alva
162	629	629	name	629	PER	-	I	m	1	sg	162	Alva
163	631	632	noun	632	-	-	I	mn	-	sg	161	een ondier
164	634	635	noun	635	-	-	I	n	0	sg	164	De eb
165	640	640	pronoun	640	-	1	I	fm	1	sg	96	ik
166	650	650	name	650	LOC	-	I	n	0	sg	166	Nederland
167	656	656	name	656	LOC	-	I	n	0	sg	166	Nederland
168	658	658	name	658	LOC	-	I	n	0	sg	166	Nederland
169	662	664	noun	664	-	-	I	fm	1	pl	169	onze oude luî
170	662	662	pronoun	662	-	1	I	fm	1	pl	134	onze
171	667	668	noun	668	-	-	I	n	0	pl	171	hun zaken
172	667	667	pronoun	667	-	3	I	fm	1	pl	169	hun
173	673	673	pronoun	673	-	3	I	fm	1	pl	169	ze
174	674	676	noun	676	-	-	I	n	0	sg	174	het ware geloof
175	681	682	noun	682	-	-	I	n	0	sg	175	de zaak
176	689	690	noun	690	-	-	O	n	0	pl	176	andere leugens
177	692	693	noun	693	-	-	O	n	0	sg	177	Een meisjen
178	695	696	noun	696	-	-	O	fm	1	sg	177	een engel
179	699	699	pronoun	699	-	3	O	n	0	sg	177	dit
180	706	706	noun	706	-	-	O	f	1	pl	180	zusters
181	709	709	noun	709	-	-	O	n	0	sg	110	Liefde
182	711	712	noun	712	-	-	O	n	0	sg	110	een zaligheid
183	714	714	pronoun	714	-	3	O	fm	1	sg	177	Men
184	717	718	noun	718	-	-	O	n	0	sg	184	het een
185	720	721	noun	721	-	-	O	n	0	sg	185	ander voorwerp
186	725	726	noun	726	-	-	O	n	0	sg	186	der aarde
187	728	729	noun	729	-	-	O	n	0	sg	186	De aarde
188	735	736	noun	736	-	-	O	n	0	sg	110	die liefde
189	745	745	pronoun	745	-	1	O	m	1	sg	1	ik
190	750	751	noun	751	-	-	O	f	1	sg	190	mijn vrouw
191	750	750	pronoun	750	-	1	O	m	1	sg	1	mijn
192	753	753	pronoun	753	-	3	O	f	1	sg	190	zij
193	755	760	noun	756	-	-	O	f	1	sg	190	een dochter van Last & Co
194	758	760	name	760	PER	-	O	n	1	pl	194	Last & Co
195	762	764	noun	762	-	-	O	fm	1	pl	56	makelaars in koffie
196	764	764	noun	764	-	-	O	m	1	sg	3	koffie
197	770	771	noun	771	-	-	O	n	0	sg	197	ons huwelijk
198	770	770	pronoun	770	-	1	O	m	1	pl	198	ons
199	774	774	pronoun	774	-	1	O	m	1	sg	1	Ik
200	776	778	noun	776	-	-	O	f	1	sg	1	lid van Artis
201	778	778	name	778	ORG	-	O	m	1	sg	201	Artis
202	780	780	pronoun	780	-	3	O	f	1	sg	1	zij
203	782	786	noun	783	-	-	O	n	0	sg	203	een sjaallong van twee-en-negentig gulden
204	785	786	noun	786	-	-	O	n	0	sg	204	twee-en-negentig gulden
205	790	793	noun	793	-	-	O	n	0	sg	110	zulk een malle liefde
206	794	794	pronoun	794	-	-	O	n	0	sg	110	die
207	799	800	noun	800	-	-	O	n	0	sg	186	der aarde
208	806	806	noun	806	-	-	O	f	1	sg	208	tusschen
209	807	807	pronoun	807	-	1	O	fm	1	pl	198	ons
210	813	813	pronoun	813	-	1	O	fm	1	pl	198	we
211	818	818	pronoun	818	-	1	O	fm	1	pl	198	wij
212	819	823	noun	820	-	-	O	n	0	sg	212	een toertje naar den Haag
213	822	823	name	823	LOC	-	O	n	0	pl	213	den Haag
214	826	826	pronoun	826	-	3	O	f	1	sg	208	ze
215	829	829	noun	829	-	-	O	n	0	sg	215	flanel
216	833	833	pronoun	833	-	1	O	m	1	sg	1	ik
217	835	835	noun	835	-	-	O	n	0	pl	217	borstrokken
218	841	841	pronoun	841	-	1	O	fm	1	pl	198	ons
219	842	843	noun	843	-	-	O	n	0	sg	110	de liefde
220	845	846	noun	846	-	-	O	n	0	sg	220	de wereld
221	852	852	noun	852	-	-	O	n	0	sg	221	gekheid
222	854	854	noun	854	-	-	O	n	0	pl	222	leugens
223	858	859	noun	859	-	-	O	n	0	sg	197	mijn huwelijk
224	858	858	pronoun	858	-	1	O	m	1	sg	1	mijn
225	867	868	noun	868	-	-	O	n	0	pl	8	de menschen
226	869	869	pronoun	869	-	-	O	-	-	pl	8	die
227	870	870	pronoun	870	-	3	O	fm	1	sg	1	zich
228	872	872	noun	872	-	-	O	n	0	sg	110	liefde
229	873	874	noun	874	-	-	O	n	0	sg	229	de tering
230	876	877	noun	877	-	-	O	n	0	sg	230	den hals
231	881	885	noun	882	-	-	O	n	0	pl	231	de haren uit het hoofd
232	884	885	noun	885	-	-	O	n	0	sg	232	het hoofd
233	889	889	pronoun	889	-	2	O	fm	1	sg	1	ge
234	891	892	noun	892	-	-	O	n	0	sg	234	mijn huishouden
235	891	891	pronoun	891	-	1	O	m	1	sg	1	mijn
236	900	901	noun	901	-	-	O	n	0	sg	236	het wezen
237	904	904	pronoun	904	-	1	O	m	1	sg	1	ik
238	908	909	noun	909	-	-	O	n	0	sg	177	mijn meisjen
239	908	908	pronoun	908	-	1	O	m	1	sg	1	mijn
240	911	911	noun	911	-	-	O	n	0	pl	240	verzen
241	915	915	pronoun	915	-	1	O	m	1	sg	1	ik
242	916	916	pronoun	916	-	3	O	f	1	sg	208	haar
243	922	922	pronoun	922	-	1	O	m	1	sg	1	Ik
244	924	924	pronoun	924	-	3	O	n	0	sg	177	dit
245	935	935	noun	935	-	-	O	n	0	sg	245	verzenmaken
246	937	938	noun	938	-	-	O	n	0	sg	245	een ambacht
247	940	944	noun	942	-	-	O	-	-	sg	247	zeker minder moeielijk dan ivoordraaien
248	944	944	noun	944	-	-	O	-	-	pl	248	ivoordraaien
249	949	952	noun	950	-	-	O	-	-	pl	249	de ulevellen met deviezen
250	952	952	noun	952	-	-	O	n	0	pl	250	deviezen
251	958	958	name	958	PER	-	O	m	1	sg	114	Frits
252	964	964	pronoun	964	-	1	O	m	1	sg	1	ik
253	975	980	noun	976	-	-	O	n	0	sg	253	den prijs van een stel billardballen
254	978	980	noun	979	-	-	O	n	0	sg	254	een stel billardballen
255	982	982	pronoun	982	-	1	O	m	1	sg	1	Ik
256	986	986	noun	986	-	-	O	n	0	pl	240	verzen
257	990	990	pronoun	990	-	3	O	m	1	sg	114	men
258	991	994	noun	992	-	-	O	n	0	pl	258	de woorden in gelid
259	994	994	noun	994	-	-	O	n	0	sg	259	gelid
260	1009	1010	noun	1010	-	-	I	n	0	sg	260	De lucht
261	1021	1021	pronoun	1021	-	3	O	n	0	sg	260	Dit
262	1023	1023	pronoun	1023	-	1	O	m	1	sg	1	ik
263	1044	1044	pronoun	1044	-	1	O	m	1	sg	1	ik
264	1046	1046	pronoun	1046	-	-	O	-	-	sg	264	die
265	1047	1048	noun	1048	-	-	O	n	0	pl	265	mijn woorden
266	1047	1047	pronoun	1047	-	1	O	m	1	sg	1	mijn
267	1051	1052	noun	1052	-	-	O	n	0	sg	259	't gelid
268	1058	1059	noun	1059	-	-	I	n	0	sg	260	de lucht
269	1071	1072	noun	1072	-	-	O	-	-	sg	269	De verzenmaker
270	1075	1080	noun	1076	-	-	O	m	1	sg	270	de guurheid van den eersten regel
271	1078	1080	noun	1080	-	-	O	n	0	sg	8	den eersten regel
272	1090	1090	pronoun	1090	-	3	O	m	1	sg	270	hem
273	1101	1102	noun	1102	-	-	O	n	0	sg	260	de lucht
274	1114	1115	noun	1115	-	-	O	m	1	sg	274	de maat
275	1119	1119	pronoun	1119	-	3	O	m	1	sg	274	hij
276	1126	1127	noun	1127	-	-	O	n	0	sg	276	het weêr
277	1135	1137	noun	1135	-	-	O	-	-	sg	277	Eén van beiden
278	1144	1146	noun	1146	-	-	O	n	0	pl	240	alleen die verzen
279	1151	1151	noun	1151	-	-	O	-	-	sg	279	onwaarheid
280	1156	1157	noun	1157	-	-	O	n	0	sg	280	den schouwburg
281	1165	1165	noun	1165	-	-	O	n	0	pl	281	leugens
282	1167	1168	noun	1168	-	-	O	m	1	sg	1	den man
283	1172	1176	noun	1173	-	-	O	m	1	sg	283	De held van 't stuk
284	1175	1176	noun	1176	-	-	O	n	0	sg	284	't stuk
285	1179	1180	noun	1180	-	-	O	n	0	sg	285	het water
286	1184	1184	pronoun	1184	-	-	O	m	1	sg	286	die
287	1195	1195	pronoun	1195	-	3	O	m	1	sg	283	hij
288	1196	1196	pronoun	1196	-	3	O	m	1	sg	286	hem
289	1197	1199	noun	1199	-	-	O	n	0	sg	289	zijn halve vermogen
290	1197	1197	pronoun	1197	-	3	O	m	1	sg	283	zijn
291	1210	1211	name	1211	LOC	-	O	n	0	sg	291	de Prinsengracht
292	1212	1213	noun	1213	-	-	O	n	0	sg	292	mijn hoed
293	1212	1212	pronoun	1212	-	1	O	m	1	sg	1	mijn
294	1217	1217	name	1217	PER	-	O	m	1	sg	114	Frits
295	1223	1223	pronoun	1223	-	1	O	m	1	sg	1	ik
296	1224	1225	noun	1225	-	-	O	m	1	sg	1	den man
297	1226	1226	pronoun	1226	-	-	O	-	-	both	297	die
298	1227	1227	pronoun	1227	-	3	O	m	1	sg	114	hem
299	1228	1228	pronoun	1228	-	1	O	m	1	sg	1	mij
300	1231	1232	noun	1232	-	-	O	n	0	sg	300	een dubbeltje
301	1236	1236	pronoun	1236	-	3	O	m	1	sg	114	hij
302	1240	1240	pronoun	1240	-	1	O	m	1	sg	1	Ik
303	1244	1244	pronoun	1244	-	1	O	m	1	sg	1	ik
304	1251	1251	pronoun	1251	-	3	O	m	1	sg	114	hij
305	1252	1252	pronoun	1252	-	1	O	m	1	sg	1	mijzelf
306	1259	1262	noun	1262	-	-	O	n	0	sg	306	zeker mijn halve vermogen
307	1260	1260	pronoun	1260	-	1	O	m	1	sg	1	mijn
308	1270	1270	pronoun	1270	-	3	O	m	1	sg	114	men
309	1272	1272	pronoun	1272	-	3	O	n	0	sg	306	die
310	1277	1278	noun	1278	-	-	O	n	0	sg	285	't water
311	1292	1296	noun	1293	-	-	O	-	-	pl	311	zulke vertooningen op het tooneel
312	1295	1296	noun	1296	-	-	O	n	0	sg	312	het tooneel
313	1298	1299	noun	1299	-	-	O	fm	1	sg	313	het publiek
314	1301	1301	pronoun	1301	-	3	O	fm	1	sg	313	zich
315	1306	1306	noun	1306	-	-	O	-	-	pl	49	onwaarheden
316	1310	1310	pronoun	1310	-	3	O	-	-	pl	49	ze
317	1316	1316	pronoun	1316	-	1	O	m	1	sg	1	Ik
318	1319	1319	noun	1319	-	-	O	n	0	sg	318	lust
319	1321	1322	noun	1322	-	-	O	n	0	sg	319	heel parterre
320	1324	1325	noun	1325	-	-	O	n	0	sg	285	't water
321	1339	1339	pronoun	1339	-	1	O	m	1	sg	1	Ik
322	1341	1341	pronoun	1341	-	3	O	n	0	sg	319	die
323	1343	1343	noun	1343	-	-	O	-	-	sg	85	waarheid
324	1349	1349	pronoun	1349	-	1	O	m	1	sg	1	ik
325	1351	1355	noun	1352	-	-	O	n	0	sg	325	't opvisschen van mijn persoon
326	1354	1355	noun	1355	-	-	O	fm	1	sg	326	mijn persoon
327	1354	1354	pronoun	1354	-	1	O	m	1	sg	1	mijn
328	1371	1371	pronoun	1371	-	1	O	m	1	sg	1	me
329	1376	1376	name	1376	PER	-	O	fm	1	both	329	Zondags
330	1378	1378	pronoun	1378	-	1	O	m	1	sg	1	ik
331	1384	1384	pronoun	1384	-	1	O	m	1	sg	1	ik
332	1386	1388	noun	1388	-	-	O	n	0	sg	332	mijn kantilje ketting
333	1386	1386	pronoun	1386	-	1	O	m	1	sg	1	mijn
334	1392	1394	noun	1394	-	-	O	n	0	sg	334	een anderen rok
335	1398	1399	noun	1399	-	-	O	n	0	sg	312	dat tooneel
336	1406	1407	noun	1407	-	-	O	n	-	pl	7	de romans
337	1421	1422	noun	1422	-	-	O	n	0	sg	11	uitgeslagen papier
338	1426	1427	noun	1427	-	-	O	n	0	sg	338	dat alles
339	1433	1433	noun	1433	-	-	O	fm	1	pl	339	kinderen
340	1436	1436	pronoun	1436	-	1	O	m	1	sg	1	ik
341	1440	1440	noun	1440	-	-	O	-	-	pl	8	menschen
342	1441	1441	pronoun	1441	-	-	O	-	-	pl	8	die
343	1444	1444	noun	1444	-	-	O	n	0	pl	343	zaken
344	1449	1450	noun	1450	-	-	O	-	-	pl	344	die tooneelmenschen
345	1451	1451	noun	1451	-	-	O	n	0	sg	345	armoede
346	1456	1457	noun	1457	-	-	O	-	-	sg	346	hun voorstelling
347	1456	1456	pronoun	1456	-	3	O	-	-	pl	344	hun
348	1461	1462	noun	1462	-	-	O	f	1	sg	348	Een meisje
349	1470	1471	noun	1471	-	-	O	-	-	sg	349	de familie
350	1480	1480	pronoun	1480	-	3	O	f	1	sg	348	ze
351	1495	1496	noun	1496	-	-	O	-	-	pl	351	de steken
352	1497	1497	pronoun	1497	-	-	O	-	-	pl	351	die
353	1498	1498	pronoun	1498	-	3	O	f	1	sg	348	ze
354	1501	1503	noun	1503	-	-	O	n	0	sg	354	het heele bedrijf
355	1505	1505	pronoun	1505	-	3	O	f	1	sg	348	Ze
356	1508	1508	pronoun	1508	-	3	O	f	1	sg	348	ze
357	1511	1511	pronoun	1511	-	3	O	f	1	sg	348	ze
358	1514	1515	noun	1515	-	-	O	n	0	sg	358	't venster
359	1520	1520	pronoun	1520	-	3	O	f	1	sg	348	ze
360	1523	1524	noun	1524	-	-	O	-	-	sg	349	De familie
361	1525	1525	pronoun	1525	-	-	O	-	-	sg	349	die
362	1527	1528	noun	1528	-	-	O	n	0	sg	362	dezen arbeid
363	1536	1537	name	1537	MISC	-	O	n	0	sg	177	Zoo'n meisjen
364	1540	1541	noun	1541	-	-	O	f	1	sg	177	de heldin
365	1543	1543	pronoun	1543	-	3	O	f	1	sg	177	Ze
366	1545	1546	noun	1546	-	-	O	fm	1	pl	366	eenige verleiders
367	1547	1548	noun	1548	-	-	O	n	0	pl	367	de trappen
368	1551	1551	pronoun	1551	-	3	O	f	1	sg	177	ze
369	1557	1557	pronoun	1557	-	1	I	f	1	sg	177	mijne
370	1562	1563	noun	1563	-	-	I	f	1	sg	370	mijne moeder
371	1562	1562	pronoun	1562	-	1	I	fm	1	sg	177	mijne
372	1569	1570	noun	1570	-	-	O	n	0	sg	372	de deugd
373	1577	1578	noun	1578	-	-	O	n	0	sg	372	een deugd
374	1580	1580	pronoun	1580	-	-	O	n	0	sg	372	die
375	1587	1590	noun	1590	-	-	O	n	0	pl	375	een paar wollen kousen
376	1593	1594	noun	1594	-	-	O	n	0	sg	338	dit alles
377	1597	1601	noun	1597	-	-	O	n	0	pl	377	denkbeelden van deugd , en
378	1599	1599	noun	1599	-	-	O	n	0	sg	372	deugd
379	1603	1603	noun	1603	-	-	I	n	0	pl	379	werken
380	1605	1605	noun	1605	-	-	I	n	0	sg	380	den
381	1612	1612	noun	1612	-	-	O	n	0	pl	381	leugens
382	1616	1618	noun	1618	-	-	O	m	1	sg	382	haar eerste minnaar
383	1616	1616	pronoun	1616	-	3	O	n	0	sg	338	haar
384	1620	1620	pronoun	1620	-	-	O	m	1	sg	382	die
385	1625	1626	noun	1626	-	-	O	n	0	sg	385	't kopieboek
386	1630	1632	noun	1632	-	-	O	n	0	sg	386	schatrijk - op-eens
387	1637	1637	pronoun	1637	-	3	O	f	1	sg	177	haar
388	1640	1641	noun	1641	-	-	O	n	0	pl	388	weer leugens
389	1644	1644	noun	1644	-	-	O	n	0	sg	389	geld
390	1651	1653	noun	1653	-	-	O	n	0	sg	390	een gefailleerd huis
391	1657	1657	pronoun	1657	-	2	O	fm	1	sg	1	ge
392	1661	1661	pronoun	1661	-	3	O	n	0	sg	389	dit
393	1663	1664	noun	1664	-	-	O	n	0	sg	312	het tooneel
394	1669	1669	noun	1669	-	-	O	n	0	sg	90	uitzondering
395	1673	1674	noun	1674	-	-	O	n	0	sg	395	mijn aanmerking
396	1673	1673	pronoun	1673	-	1	O	m	1	sg	1	mijn
397	1678	1678	pronoun	1678	-	3	O	m	1	sg	382	men
398	1679	1682	noun	1680	-	-	O	n	0	sg	398	den zin voor waarheid
399	1682	1682	noun	1682	-	-	O	-	-	sg	85	waarheid
400	1685	1686	noun	1686	-	-	O	n	0	sg	400	het volk
401	1688	1688	pronoun	1688	-	3	O	n	0	sg	400	dat
402	1689	1690	noun	1690	-	-	O	n	0	sg	90	de uitzondering
403	1692	1692	noun	1692	-	-	O	n	0	sg	8	regel
404	1697	1697	pronoun	1697	-	3	O	m	1	sg	382	men
405	1698	1700	noun	1700	-	-	O	n	0	sg	405	de publieke zedelijkheid
406	1710	1711	noun	1711	-	-	O	n	0	sg	312	het tooneel
407	1719	1719	noun	1719	-	-	O	fm	1	sg	407	koopman
408	1721	1723	noun	1723	-	-	O	n	0	sg	408	een bespottelijke krankzinnigheid
409	1727	1728	noun	1728	-	-	O	n	0	sg	220	de wereld
410	1731	1731	pronoun	1731	-	1	O	m	1	sg	1	ik
411	1735	1735	pronoun	1735	-	1	O	fm	1	pl	198	wij
412	1737	1741	noun	1738	-	-	O	n	0	sg	412	't kantoor van mijn schoonvader
413	1740	1741	noun	1741	-	-	O	m	1	sg	413	mijn schoonvader
414	1740	1740	pronoun	1740	-	1	O	m	1	sg	1	mijn
415	1743	1745	name	1745	PER	-	O	n	1	pl	194	Last & Co
